date,region,cases,deaths,lag.deaths,daily.deaths,lag.cases,daily.cases,rollave7.deaths,rollave7.cases
2020-01-21,Washington,1,0,NA,NA,NA,NA,NA,NA
2020-01-22,Washington,1,0,0,0,1,0,NA,NA
2020-01-23,Washington,1,0,0,0,1,0,NA,NA
2020-01-24,Washington,1,0,0,0,1,0,NA,NA
2020-01-25,Washington,1,0,0,0,1,0,NA,NA
2020-01-26,Los_Angeles,1,0,NA,NA,NA,NA,NA,NA
2020-01-26,Washington,1,0,0,0,1,0,NA,NA
2020-01-27,Los_Angeles,1,0,0,0,1,0,NA,NA
2020-01-27,Washington,1,0,0,0,1,0,NA,NA
2020-01-28,Los_Angeles,1,0,0,0,1,0,NA,NA
2020-01-28,Washington,1,0,0,0,1,0,0,0
2020-01-29,Los_Angeles,1,0,0,0,1,0,NA,NA
2020-01-29,Washington,1,0,0,0,1,0,0,0
2020-01-30,Los_Angeles,1,0,0,0,1,0,NA,NA
2020-01-30,Washington,1,0,0,0,1,0,0,0
2020-01-31,Los_Angeles,1,0,0,0,1,0,NA,NA
2020-01-31,Washington,1,0,0,0,1,0,0,0
2020-02-01,Los_Angeles,1,0,0,0,1,0,NA,NA
2020-02-01,Washington,1,0,0,0,1,0,0,0
2020-02-02,Los_Angeles,1,0,0,0,1,0,0,0
2020-02-02,Washington,1,0,0,0,1,0,0,0
2020-02-03,Los_Angeles,1,0,0,0,1,0,0,0
2020-02-03,Washington,1,0,0,0,1,0,0,0
2020-02-04,Los_Angeles,1,0,0,0,1,0,0,0
2020-02-04,Washington,1,0,0,0,1,0,0,0
2020-02-05,Los_Angeles,1,0,0,0,1,0,0,0
2020-02-05,Washington,1,0,0,0,1,0,0,0
2020-02-05,Wisconsin,1,0,NA,NA,NA,NA,NA,NA
2020-02-06,Los_Angeles,1,0,0,0,1,0,0,0
2020-02-06,Washington,1,0,0,0,1,0,0,0
2020-02-06,Wisconsin,1,0,0,0,1,0,NA,NA
2020-02-07,Los_Angeles,1,0,0,0,1,0,0,0
2020-02-07,Washington,1,0,0,0,1,0,0,0
2020-02-07,Wisconsin,1,0,0,0,1,0,NA,NA
2020-02-08,Los_Angeles,1,0,0,0,1,0,0,0
2020-02-08,Washington,1,0,0,0,1,0,0,0
2020-02-08,Wisconsin,1,0,0,0,1,0,NA,NA
